name,language,country,genre
Gattaca,English,USA,Sci-Fi
Primal Fear,English,USA,"Legal Thriller, Mystery"
The Silence of the Lambs,English,USA,"Psychological Thriller, Crime, Mystery"
Gone Girl,English,USA,"Psychological Thriller, Mystery"
Knives Out,English,USA,"Mystery, Comedy, Crime"
The Girl with the Dragon Tattoo,English,USA,"Mystery, Thriller, Crime"
Se7en,English,USA,"Crime, Mystery, Thriller"
The Usual Suspects,English,USA,"Crime, Mystery, Thriller"
Shutter Island,English,USA,"Mystery, Thriller, Psychological Horror"
Rear Window,English,USA,"Mystery, Thriller"
Prisoners,English,USA,"Crime, Drama, Mystery"
Il Signore degli Anelli: La Compagnia dell'Anello,Inglese,"Nuova Zelanda, Stati Uniti",Fantasy
Il Castello Errante di Howl,Giapponese,Giappone,"Animazione, Fantasy"
La Storia Infinita,Inglese,"Germania Ovest, Stati Uniti","Fantasy, Avventura"
Legend,Inglese,"Regno Unito, Stati Uniti","Fantasy, Avventura"
Willow,Inglese,Stati Uniti,"Fantasy, Avventura"
La Principessa Mononoke,Giapponese,Giappone,"Animazione, Fantasy"
Big Fish - Una storia di incredibile,Inglese,Stati Uniti,"Fantasy, Drammatico"
Dark Crystal,Inglese,"Regno Unito, Stati Uniti","Fantasy, Avventura"
Pan's Labyrinth,Spagnolo,"Messico, Spagna","Fantasy, Drammatico"
Stardust,Inglese,"Regno Unito, Stati Uniti","Fantasy, Avventura, Romantico"
Hereditary,English,USA,"Horror, Mystery, Thriller"
The Babadook,English,Australia,"Horror, Drama, Mystery"
It Follows,English,USA,"Horror, Mystery"
The Witch,English,"USA, Canada","Horror, Mystery"
A Quiet Place,English,USA,"Horror, Sci-Fi, Thriller"
Get Out,English,USA,"Horror, Mystery, Thriller"
REC,Spanish,Spain,"Horror, Thriller, Mystery"
The Shining,English,"USA, UK","Horror, Drama, Mystery"
The Exorcist,English,USA,Horror
Psycho,English,USA,"Horror, Mystery, Thriller"
